Description,Name
The median debt for first-generation students,median_debt.first_generation_students
The median debt for not-first-generation students,median_debt.non_first_generation_students
The number of students in the median debt cohort,median_debt.number.overall
The number of students in the median debt completers cohort,median_debt.number.completers
The number of students in the median debt withdrawn cohort,median_debt.number.noncompleters
"The number of students in the median debt low-income (less than or equal to $30,000 in nominal family income) students cohort",median_debt.number.income.0_30000
"The number of students in the median debt middle-income (between $30,000 and $75,000 in nominal family income) students cohort",median_debt.number.income.30001_75000
"The number of students in the median debt high-income (above $75,000 in nominal family income) students cohort",median_debt.number.income.greater_than_75000
The number of students in the median debt dependent students cohort,median_debt.number.dependent_students
The number of students in the median debt independent students cohort,median_debt.number.independent_students
The number of students in the median debt Pell students cohort,median_debt.number.pell_grant
The number of students in the median debt no-Pell students cohort,median_debt.number.no_pell_grant
The number of students in the median debt female students cohort,median_debt.number.female_students
The number of students in the median debt male students cohort,median_debt.number.male_students
The number of students in the median debt first-generation students cohort,median_debt.number.first_generation_students
The number of students in the median debt not-first-generation students cohort,median_debt.number.non_first_generation_students
Median loan debt of completers in monthly payments (10-year amortization plan),median_debt.completers.monthly_payments
Number of students in the cumulative loan debt cohort,cumulative_debt.number
Cumulative loan debt at the 90th percentile,cumulative_debt.90th_percentile
Cumulative loan debt at the 75th percentile,cumulative_debt.75th_percentile
Cumulative loan debt at the 25th percentile,cumulative_debt.25th_percentile
Cumulative loan debt at the 10th percentile,cumulative_debt.10th_percentile
Number of students in the family income cohort,family_income.overall
Number of students in the family income dependent students cohort,family_income.dependent_students
Number of students in the family income independent students cohort,family_income.independent_students
Number of students in the disaggregation with valid dependency status,valid_dependency_status
Number of students in the parents' education level cohort,parents_education_level
Number of students in the FAFSA applications cohort,FAFSA_applications
Median Date Student Enters Repayment,repayment_date.median
Median Date Student Separated,separation_date.median
Number of students in the cohort for date students enter repayment,repayment_date.number
Number of students in the cohort for date students separated from the school,separation_date.number
Number of students in the 1-year repayment rate cohort,1_yr_repayment.overall
Number of students in the 1-year repayment rate of completers cohort,1_yr_repayment.completers
Number of students in the 1-year repayment rate of non-completers cohort,1_yr_repayment.noncompleters
"Number of students in the 1-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort",1_yr_repayment.low_income
"Number of students in the 1-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort",1_yr_repayment.middle_income
"Number of students in the 1-year repayment rate of high-income (above $75,000 in nominal family income) students cohort",1_yr_repayment.high_income
Number of students in the 1-year repayment rate of dependent students cohort,1_yr_repayment.dependent_students
Number of students in the 1-year repayment rate of independent students cohort,1_yr_repayment.independent_students
Number of students in the 1-year repayment rate of Pell students cohort,1_yr_repayment.pell_grant
Number of students in the 1-year repayment rate of no-Pell students cohort,1_yr_repayment.no_pell_grant
Number of students in the 1-year repayment rate of female students cohort,1_yr_repayment.female_students
Number of students in the 1-year repayment rate of male students cohort,1_yr_repayment.male_students
Number of students in the 1-year repayment rate of first-generation students cohort,1_yr_repayment.first_generation_students
Number of students in the 1-year repayment rate of not-first-generation students cohort,1_yr_repayment.non_first_generation_students
Number of students in the 3-year repayment rate cohort,3_yr_repayment.overall
Number of students in the 3-year repayment rate of completers cohort,3_yr_repayment.completers
Number of students in the 3-year repayment rate of non-completers cohort,3_yr_repayment.noncompleters
"Number of students in the 3-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort",3_yr_repayment.low_income
"Number of students in the 3-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort",3_yr_repayment.middle_income
"Number of students in the 3-year repayment rate of high-income (above $75,000 in nominal family income) students cohort",3_yr_repayment.high_income
Number of students in the 3-year repayment rate of dependent students cohort,3_yr_repayment.dependent_students
Number of students in the 3-year repayment rate of independent students cohort,3_yr_repayment.independent_students
Number of students in the 3-year repayment rate of Pell students cohort,3_yr_repayment.pell_grant
Number of students in the 3-year repayment rate of no-Pell students cohort,3_yr_repayment.no_pell_grant
Number of students in the 3-year repayment rate of female students cohort,3_yr_repayment.female_students
Number of students in the 3-year repayment rate of male students cohort,3_yr_repayment.male_students
Number of students in the 3-year repayment rate of first-generation students cohort,3_yr_repayment.first_generation_students
Number of students in the 3-year repayment rate of not-first-generation students cohort,3_yr_repayment.non_first_generation_students
Number of students in the 5-year repayment rate cohort,5_yr_repayment.overall
Number of students in the 5-year repayment rate of completers cohort,5_yr_repayment.completers
Number of students in the 5-year repayment rate of non-completers cohort,5_yr_repayment.noncompleters
"Number of students in the 5-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort",5_yr_repayment.low_income
"Number of students in the 5-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort",5_yr_repayment.middle_income
"Number of students in the 5-year repayment rate of high-income (above $75,000 in nominal family income) students cohort",5_yr_repayment.high_income
Number of students in the 5-year repayment rate of dependent students cohort,5_yr_repayment.dependent_students
Number of students in the 5-year repayment rate of independent students cohort,5_yr_repayment.independent_students
Number of students in the 5-year repayment rate of Pell students cohort,5_yr_repayment.pell_grant
Number of students in the 5-year repayment rate of no-Pell students cohort,5_yr_repayment.no_pell_grant
Number of students in the 5-year repayment rate of female students cohort,5_yr_repayment.female_students
Number of students in the 5-year repayment rate of male students cohort,5_yr_repayment.male_students
Number of students in the 5-year repayment rate of first-generation students cohort,5_yr_repayment.first_generation_students
Number of students in the 5-year repayment rate of not-first-generation students cohort,5_yr_repayment.non_first_generation_students
Number of students in the 7-year repayment rate cohort,7_yr_repayment.overall
Number of students in the 7-year repayment rate of completers cohort,7_yr_repayment.completers
Number of students in the 7-year repayment rate of non-completers cohort,7_yr_repayment.noncompleters
"Number of students in the 7-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort",7_yr_repayment.low_income
"Number of students in the 7-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort",7_yr_repayment.middle_income
"Number of students in the 7-year repayment rate of high-income (above $75,000 in nominal family income) students cohort",7_yr_repayment.high_income
Number of students in the 7-year repayment rate of dependent students cohort,7_yr_repayment.dependent_students
Number of students in the 7-year repayment rate of independent students cohort,7_yr_repayment.independent_students
Number of students in the 7-year repayment rate of Pell students cohort,7_yr_repayment.pell_grant
Number of students in the 7-year repayment rate of no-Pell students cohort,7_yr_repayment.no_pell_grant
Number of students in the 7-year repayment rate of female students cohort,7_yr_repayment.female_students
Number of students in the 7-year repayment rate of male students cohort,7_yr_repayment.male_students
Number of students in the 7-year repayment rate of first-generation students cohort,7_yr_repayment.first_generation_students
Number of students in the 7-year repayment rate of not-first-generation students cohort,7_yr_repayment.non_first_generation_students
Count of students in the earnings cohort,student_count
Share of students who received a federal loan while in school,students_with_any_loan
Share of students who received a Pell Grant while in school,students_with_pell_grant
Average age of entry,demographics.age_entry
Average of the age of entry squared,demographics.age_entry_squared
Percent of students over 23 at entry,demographics.over_23_at_entry
Share of female students,demographics.female_share
Share of married students,demographics.married
Share of dependent students,demographics.dependent
Share of veteran students,demographics.veteran
Share of first-generation students,demographics.first_generation
Average family income,demographics.avg_family_income
Median family income,demographics.median_family_income
Average family income for independent students ,demographics.avg_family_income_independents
Average of the log of family income,demographics.avg_family_income_log
Average of the log of family income for independent students,demographics.avg_family_income_independents_log
"Percent of the population from students' zip codes that is White, via Census data",demographics.share_white.home_ZIP
"Percent of the population from students' zip codes that is Black, via Census data",demographics.share_black.home_ZIP
"Percent of the population from students' zip codes that is Asian, via Census data",demographics.share_asian.home_ZIP
"Percent of the population from students' zip codes that is Hispanic, via Census data",demographics.share_hispanic.home_ZIP
"Percent of the population from students' zip codes with a bachelor's degree over the age 25, via Census data",demographics.share_bachelors_degree_age25.home_ZIP
"Percent of the population from students' zip codes over 25 with a professional degree, via Census data",demographics.share_professional_degree_age25.home_ZIP
"Percent of the population from students' zip codes that was born in the US, via Census data",demographics.share_born_US.home_ZIP
Median household income,demographics.median_hh_income
"Poverty rate, via Census data",demographics.poverty_rate
"Unemployment rate, via Census data",demographics.unemployment
Log of the median household income,demographics.median_hh_income_log
Average number of students who sent their FAFSA reports to at least one college,fafsa_sent.overall
Share of students who submitted FAFSAs to only one college,fafsa_sent.1_college
Share of students who submitted FAFSAs to two colleges,fafsa_sent.2_colleges
Share of students who submitted FAFSAs to three colleges,fafsa_sent.3_college
Share of students who submitted FAFSAs to four colleges,fafsa_sent.4_colleges
Share of students who submitted FAFSAs to at least five colleges,fafsa_sent.5_or_more_colleges
Number of students not working and not enrolled 10 years after entry,10_yrs_after_entry.not.overall
Number of students working and not enrolled 10 years after entry,10_yrs_after_entry.overall
Mean earnings of students working and not enrolled 10 years after entry,10_yrs_after_entry.mean_earnings
Median earnings of students working and not enrolled 10 years after entry,10_yrs_after_entry.median
10th percentile of earnings of students working and not enrolled 10 years after entry,10_yrs_after_entry.earnings_percentile.10
25th percentile of earnings of students working and not enrolled 10 years after entry,10_yrs_after_entry.earnings_percentile.25
75th percentile of earnings of students working and not enrolled 10 years after entry,10_yrs_after_entry.earnings_percentile.75
90th percentile of earnings of students working and not enrolled 10 years after entry,10_yrs_after_entry.earnings_percentile.90
Standard deviation of earnings of students working and not enrolled 10 years after entry,10_yrs_after_entry.std_dev
"Number of students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000",10_yrs_after_entry.income.lowest_tercile
"Number of students working and not enrolled 10 years after entry in the middle income tercile $30,001-$75,000",10_yrs_after_entry.income.middle_tercile
"Number of students working and not enrolled 10 years after entry in the highest income tercile $75,001+ ",10_yrs_after_entry.income.highest_tercile
"Number of dependent students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000 ",10_yrs_after_entry.dependent_students_lowest_tercile
Number of dependent students working and not enrolled 10 years after entry,10_yrs_after_entry.dependent_students
Number of independent students working and not enrolled 10 years after entry,10_yrs_after_entry.independent_students
Number of female students working and not enrolled 10 years after entry,10_yrs_after_entry.female_students
Number of male students working and not enrolled 10 years after entry,10_yrs_after_entry.male_students
"Share of students earning over $25,000/year (threshold earnings) 10 years after entry",10_yrs_after_entry.percent_greater_than_25000
"Share of students earning over $28,000/year (threshold earnings) 10 years after entry",10_yrs_after_entry.percent_greater_than_28000
"Mean earnings of students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000",10_yrs_after_entry.mean_earnings.lowest_tercile
"Mean earnings of students working and not enrolled 10 years after entry in the middle income tercile $30,001-$75,000",10_yrs_after_entry.mean_earnings.middle_tercile
"Mean earnings of students working and not enrolled 10 years after entry in the highest income tercile $75,001+ ",10_yrs_after_entry.mean_earnings.highest_tercile
"Mean earnings of dependent students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000",10_yrs_after_entry.mean_earnings.dependent_students_lowest_tercile
Mean earnings of dependent students working and not enrolled 10 years after entry,10_yrs_after_entry.mean_earnings.dependent_students
Mean earnings of independent students working and not enrolled 10 years after entry,10_yrs_after_entry.mean_earnings.independent_students
Mean earnings of female students working and not enrolled 10 years after entry,10_yrs_after_entry.mean_earnings.female_students
Mean earnings of male students working and not enrolled 10 years after entry,10_yrs_after_entry.mean_earnings.male_students
Number of students not working and not enrolled 6 years after entry,6_yrs_after_entry.not.overall
Number of students working and not enrolled 6 years after entry,6_yrs_after_entry.overall
Mean earnings of students working and not enrolled 6 years after entry,6_yrs_after_entry.mean_earnings
Median earnings of students working and not enrolled 6 years after entry,6_yrs_after_entry.median
10th percentile of earnings of students working and not enrolled 6 years after entry,6_yrs_after_entry.earnings_percentile.10
25th percentile of earnings of students working and not enrolled 6 years after entry,6_yrs_after_entry.earnings_percentile.25
75th percentile of earnings of students working and not enrolled 6 years after entry,6_yrs_after_entry.earnings_percentile.75
90th percentile of earnings of students working and not enrolled 6 years after entry,6_yrs_after_entry.earnings_percentile.90
Standard deviation of earnings of students working and not enrolled 6 years after entry,6_yrs_after_entry.std_dev
"Number of students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000",6_yrs_after_entry.income.lowest_tercile
"Number of students working and not enrolled 6 years after entry in the middle income tercile $30,001-$75,000",6_yrs_after_entry.income.middle_tercile
"Number of students working and not enrolled 6 years after entry in the highest income tercile $75,001+ ",6_yrs_after_entry.income.highest_tercile
"Number of dependent students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000",6_yrs_after_entry.dependent_students_lowest_tercile
Number of dependent students working and not enrolled 6 years after entry,6_yrs_after_entry.dependent_students
Number of independent students working and not enrolled 6 years after entry,6_yrs_after_entry.independent_students
Number of female students working and not enrolled 6 years after entry,6_yrs_after_entry.female_students
Number of male students working and not enrolled 6 years after entry,6_yrs_after_entry.male_students
"Share of students earning over $25,000/year (threshold earnings) 6 years after entry",6_yrs_after_entry.percent_greater_than_25000
"Share of students earning over $28,000/year (threshold earnings) 6 years after entry",6_yrs_after_entry.percent_greater_than_28000
"Mean earnings of students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000",6_yrs_after_entry.mean_earnings.lowest_tercile
"Mean earnings of students working and not enrolled 6 years after entry in the middle income tercile $30,001-$75,000",6_yrs_after_entry.mean_earnings.middle_tercile
"Mean earnings of students working and not enrolled 6 years after entry in the highest income tercile $75,001+ ",6_yrs_after_entry.mean_earnings.highest_tercile
"Mean earnings of dependent students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000",6_yrs_after_entry.mean_earnings.dependent_students_lowest_tercile
Mean earnings of dependent students working and not enrolled 6 years after entry,6_yrs_after_entry.mean_earnings.dependent_students
Mean earnings of independent students working and not enrolled 6 years after entry,6_yrs_after_entry.mean_earnings.independent_students
Mean earnings of female students working and not enrolled 6 years after entry,6_yrs_after_entry.mean_earnings.female_students
Mean earnings of male students working and not enrolled 6 years after entry,6_yrs_after_entry.mean_earnings.male_students
Number of students not working and not enrolled 7 years after entry,7_yrs_after_entry.not
Number of students working and not enrolled 7 years after entry,7_yrs_after_entry
Mean earnings of students working and not enrolled 7 years after entry,7_yrs_after_entry.mean_earnings
Standard deviation of earnings of students working and not enrolled 7 years after entry,7_yrs_after_entry.std_dev
"Share of students earning over $25,000/year (threshold earnings) 7 years after entry",7_yrs_after_entry.percent_greater_than_25000
Number of students not working and not enrolled 8 years after entry,8_yrs_after_entry.not
Number of students working and not enrolled 8 years after entry,8_yrs_after_entry
Mean earnings of students working and not enrolled 8 years after entry,8_yrs_after_entry.mean_earnings
Median earnings of students working and not enrolled 8 years after entry,8_yrs_after_entry.median_earnings
10th percentile of earnings of students working and not enrolled 8 years after entry,8_yrs_after_entry.10th_percentile_earnings
25th percentile of earnings of students working and not enrolled 8 years after entry,8_yrs_after_entry.25th_percentile_earnings
75th percentile of earnings of students working and not enrolled 8 years after entry,8_yrs_after_entry.75th_percentile_earnings
90th percentile of earnings of students working and not enrolled 8 years after entry,8_yrs_after_entry.90th_percentile_earnings
Standard deviation of earnings of students working and not enrolled 8 years after entry,8_yrs_after_entry.std_deviation
"Share of students earning over $25,000/year (threshold earnings) 8 years after entry",8_yrs_after_entry.percent_greater_than_25000
"Share of students earning over $28,000/year (threshold earnings) 8 years after entry",8_yrs_after_entry.percent_greater_than_28000
Number of students not working and not enrolled 9 years after entry,9_yrs_after_entry.not
Number of students working and not enrolled 9 years after entry,9_yrs_after_entry
Mean earnings of students working and not enrolled 9 years after entry,9_yrs_after_entry.mean_earnings
Standard deviation of earnings of students working and not enrolled 9 years after entry,9_yrs_after_entry.std_deviation
"Share of students earning over $25,000/year (threshold earnings) 9 years after entry",9_yrs_after_entry.percent_greater_than_25000
"Median debt, suppressed for n=30",median_debt_suppressed.overall
"Median debt of completers, suppressed for n=30",median_debt_suppressed.completers.overall
"Median debt of completers expressed in 10-year monthly payments, suppressed for n=30",median_debt_suppressed.completers.monthly_payments
"3-year repayment rate, suppressed for n=30",3_yr_repayment_suppressed.overall
"3-year repayment rate for low-income (less than $30,000 in nominal family income) students, suppressed for n=30",3_yr_repayment_suppressed.income.low_income
"3-year repayment rate for middle-income (between $30,000 and $75,000 in nominal family income) students, suppressed for n=30",3_yr_repayment_suppressed.income.middle_income
"3-year repayment rate for high-income (above $75,000 in nominal family income) students, suppressed for n=30",3_yr_repayment_suppressed.income.high_income
"3-year repayment rate for completers, suppressed for n=30",3_yr_repayment_suppressed.completers
"3-year repayment rate for non-completers, suppressed for n=30",3_yr_repayment_suppressed.non_completers
"3-year repayment rate for dependent students, suppressed for n=30",3_yr_repayment_suppressed.dependent_students
"3-year repayment rate for independent students, suppressed for n=30",3_yr_repayment_suppressed.independent_students
"3-year repayment rate for Pell students, suppressed for n=30",3_yr_repayment_suppressed.pell_grant
"3-year repayment rate for no-Pell students, suppressed for n=30",3_yr_repayment_suppressed.no_pell_grant
"3-year repayment rate for female students, suppressed for n=30",3_yr_repayment_suppressed.female_students
"3-year repayment rate for male students, suppressed for n=30",3_yr_repayment_suppressed.male_students
"3-year repayment rate for first-generation students, suppressed for n=30",3_yr_repayment_suppressed.first_generation_students
"3-year repayment rate for non-first-generation students, suppressed for n=30",3_yr_repayment_suppressed.non_first_generation_students
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) , pooled in two-year rolling averages and suppressed for small n size",rate_suppressed.lt_four_year_150percent
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) , pooled in two-year rolling averages and suppressed for small n size.",rate_suppressed.four_year
"Completion rate for first-time, full-time students at less-than-four-year institutions (200% of expected time to completion), pooled in two-year rolling averages and suppressed for small n size. ",rate_suppressed.lt_four_year
"Completion rate for first-time, full-time students at four-year institutions (200% of expected time to completion), pooled in two-year rolling averages and suppressed for small n size",rate_suppressed.four_year_200percent
Institution name aliases,alias
"Completion rate for first-time, full-time students at four-year institutions (100% of expected time to completion)",completion_rate_4yr_100nt
Adjusted cohort count for completion rate at four-year institutions (denominator of 100% completion rate),completion_cohort_4yr_100nt
"Completion rate for first-time, full-time students at less-than-four-year institutions (100% of expected time to completion)",completion_rate_less_than_4yr_100nt
Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 100% completion rate),completion_cohort_less_than_4yr_100nt
"Transfer rate for first-time, full-time students at four-year institutions (within 150% of expected time to completion/6 years)",transfer_rate.4yr.full_time
Adjusted cohort count for transfer rate at four-year institutions (denominator of 150% transfer rate),transfer_rate.cohort_4yr.full_time
"Transfer rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)",transfer_rate.less_than_4yr.full_time
Adjusted cohort count for transfer rate at less-than-four-year institutions (denominator of 150% transfer rate),transfer_rate.cohort_less_than_4yr.full_time
Level of institution,institutional_characteristics.level
Total share of enrollment of undergraduate degree-seeking students who are men,demographics.men
Total share of enrollment of undergraduate degree-seeking students who are women,demographics.women
Number of students in the cohort for the two-year cohort default rate,2_yr_default_rate_denom
Number of students in the cohort for the three-year cohort default rate,3_yr_default_rate_denom
Open admissions policy indicator,open_admissions_policy
Number of undergraduate students (denominator percent receiving a pell grant or federal student loan),undergrads_with_pell_grant_or_federal_student_loan
Number of non-degree-seeking undergraduate students,undergrads_non_degree_seeking
Number of graduate students,grad_students
Adjusted cohort count for completion rate of White students at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_white
Adjusted cohort count for completion rate of Black/African American students at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_black
Adjusted cohort count for completion rate of Hispanic students at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_hispanic
Adjusted cohort count for completion rate of Asian students at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_asian
Adjusted cohort count for completion rate of American Indian/Alaska Native students at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_aian
Adjusted cohort count for completion rate of Native Hawaiian/Pacific Islander students at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_nhpi
Adjusted cohort count for completion rate of students of Two or More Races at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_2ormore
Adjusted cohort count for completion rate of U.S. Nonresident students at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_nonresident.alien
Adjusted cohort count for completion rate of students of Unknown race at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_race.unknown
Adjusted cohort count for completion rate of White students at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_white
Adjusted cohort count for completion rate of Black/African American students at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_black
Adjusted cohort count for completion rate of Hispanic students at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_hispanic
Adjusted cohort count for completion rate of Asian students at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_asian
Adjusted cohort count for completion rate of American Indian/Alaska Native students at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_aian
Adjusted cohort count for completion rate of Native Hawaiian/Pacific Islander students at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_nhpi
Adjusted cohort count for completion rate of students of Two or More Races at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_2ormore
Adjusted cohort count for completion rate of U.S. Nonresident students at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_nonresident.alien
Adjusted cohort count for completion rate of students of Unknown race at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_race.unknown
"Adjusted cohort count for completion rate of White, non-Hispanic students at four-year institutions (denominator of 150% completion rate)",completion_cohort_4yr_150_white_pre2010
"Adjusted cohort count for completion rate of Black, non-Hispanic students at four-year institutions (denominator of 150% completion rate)",completion_cohort_4yr_150_black_pre2010
Adjusted cohort count for completion rate of Asian/Pacific Islander students at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_api_pre2010
Adjusted cohort count for completion rate of American Indian/Alaska Native students at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_aian_pre2010
Adjusted cohort count for completion rate of Hispanic students at four-year institutions (denominator of 150% completion rate),completion_cohort_4yr_150_hispanic_pre2010
"Adjusted cohort count for completion rate of White, non-Hispanic students at less-than-four-year institutions (denominator of 150% completion rate)",completion_cohort_less_than_4yr_150_white_pre2010
"Adjusted cohort count for completion rate of Black, non-Hispanic students at less-than-four-year institutions (denominator of 150% completion rate)",completion_cohort_less_than_4yr_150_black_pre2010
Adjusted cohort count for completion rate of Asian/Pacific Islander students at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_api_pre2010
Adjusted cohort count for completion rate of American Indian/Alaska Native students at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_aian_pre2010
Adjusted cohort count for completion rate of Hispanic students at less-than-four-year institutions (denominator of 150% completion rate),completion_cohort_less_than_4yr_150_hispanic_pre2010
Code corresponding to accreditor (as captured from PEPS),accreditor_code
Date that institution was first approved to participate in Title IV aid programs,title_iv.approval_date
"Adjusted cohort count of full-time, first-time students (denominator for the percentage receiving an award within 6 years of entry)",outcome_cohort.full_time.first_time.6yr
"Percentage of full-time, first-time student receiving an award within 6 years of entry",perc.full_time.first_time.6yr.award
"Adjusted cohort count of full-time, first-time students (denominator for the 8-year outcomes percentages)",outcome_cohort.full_time.first_time.8yr
"Percentage of full-time, first-time student receiving an award within 8 years of entry",perc.full_time.first_time.8yr.award
"Percentage of full-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",perc.full_time.first_time.8yr.still_enrolled
"Percentage of full-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",perc.full_time.first_time.8yr.transfer
"Percentage of full-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",perc.full_time.first_time.8yr.unknown
"Adjusted cohort count of part-time, first-time students (denominator for the percentage receiving an award within 6 years of entry)",outcome_cohort.part_time.first_time.6yr
"Percentage of part-time, first-time student receiving an award within 6 years of entry",perc.part_time.first_time.6yr.award
"Adjusted cohort count of part-time, first-time students (denominator for the 8-year outcomes percentages)",outcome_cohort.part_time.first_time.8yr
"Percentage of part-time, first-time student receiving an award within 8 years of entry",perc.part_time.first_time.8yr.award
"Percentage of part-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",perc.part_time.first_time.8yr.still_enrolled
"Percentage of part-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",perc.part_time.first_time.8yr.transfer
"Percentage of part-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",perc.part_time.first_time.8yr.unknown
"Adjusted cohort count of full-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry)",outcome_cohort.full_time.not_first_time.6yr
"Percentage of full-time, not first-time student receiving an award within 6 years of entry",perc.full_time.not_first_time.6yr.award
"Adjusted cohort count of full-time, not first-time students (denominator for the 8-year outcomes percentages)",outcome_cohort.full_time.not_first_time.8yr
"Percentage of full-time, not first-time student receiving an award within 8 years of entry",perc.full_time.not_first_time.8yr.award
"Percentage of full-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",perc.full_time.not_first_time.8yr.still_enrolled
"Percentage of full-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",perc.full_time.not_first_time.8yr.transfer
"Percentage of full-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",perc.full_time.not_first_time.8yr.unknown
"Adjusted cohort count of part-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry)",outcome_cohort.part_time.not_first_time.6yr
"Percentage of part-time, not first-time student receiving an award within 6 years of entry",perc.part_time.not_first_time.6yr.award
"Adjusted cohort count of part-time, not first-time students (denominator for the 8-year outcomes percentages)",outcome_cohort.part_time.not_first_time.8yr
"Percentage of part-time, not first-time student receiving an award within 8 years of entry",perc.part_time.not_first_time.8yr.award
"Percentage of part-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry",perc.part_time.not_first_time.8yr.still_enrolled
"Percentage of part-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry",perc.part_time.not_first_time.8yr.transfer
"Percentage of part-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry",perc.part_time.not_first_time.8yr.unknown
"First-time, full-time student retention rate at four-year institutions",retention_rate.four_year.full_time_pooled
"First-time, full-time student retention rate at less-than-four-year institutions",retention_rate.lt_four_year.full_time_pooled
"First-time, part-time student retention rate at four-year institutions",retention_rate.four_year.part_time_pooled
"First-time, part-time student retention rate at less-than-four-year institutions",retention_rate.lt_four_year.part_time_pooled
"Adjusted cohort count for the first-time, full-time student retention rate at four-year institutions (denominator of the retention rate)",retention_rate.cohort.four_year.full_time_pooled
"Adjusted cohort count for the first-time, full-time student retention rate at less-than-four-year institutions (denominator of the retention rate)",retention_rate.cohort.lt_four_year.full_time_pooled
"Adjusted cohort count for the first-time, part-time student retention rate at four-year institutions (denominator of the retention rate)",retention_rate.cohort.four_year.part_time_pooled
"Adjusted cohort count for the first-time, part-time student retention rate at less-than-four-year institutions (denominator of the retention rate)",retention_rate.cohort.lt_four_year.part_time_pooled
Years used for rolling averages of full-time retention rate RET_FT[4/L4]_POOLED,retention_rate.pooled_yrs_used.full_time
Years used for rolling averages of part-time retention rate RET_PT[4/L4]_POOLED,retention_rate.pooled_yrs_used.part_time
"First-time, full-time student retention rate at four-year institutions",retention_rate_suppressed.four_year.full_time_pooled
"First-time, full-time student retention rate at less-than-four-year institutions",retention_rate_suppressed.lt_four_year.full_time_pooled
"First-time, part-time student retention rate at four-year institutions",retention_rate_suppressed.four_year.part_time_pooled
"First-time, part-time student retention rate at less-than-four-year institutions",retention_rate_suppressed.lt_four_year.part_time_pooled
"Transfer rate for first-time, full-time students at four-year institutions (within 150% of expected time to completion/6 years)",transfer_rate.4yr.full_time_pooled
"Transfer rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)",transfer_rate.less_than_4yr.full_time_pooled
